,listing_url,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
0,https://www.etsy.com/listing/1156438034/boho-flower-dress-girl-bridal-dress?click_key=60ca5e77f7f58bba4d13d5b830e7ef215e24a768%3A1156438034&click_sum=85a0d754&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-7&sca=1&sts=1,GioCrochetAndMore,11,Italy,0,0,208,0.97,0.03,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,85.0,30.0
1,https://www.etsy.com/listing/677690612/3d-flower-lace-v-back-wedding-flower?click_key=f3f1076168d01b779fd9347b8e7b00f27786210d%3A677690612&click_sum=58f34852&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-4-8,MillyWeddingshop,14,United Kingdom,1,0,2696,0.0,0.03,0.0,0.0,0.0,35,The dress was absolutely stunning and fit my little girl perfectly!!!,"I ordered a dress from Milly for my flower girl at my upcoming wedding. Milly was very patient with me as I asked for pictures of different colours and samples. I also asked to customise the dress and she did this perfectly, it’s just how I wanted and absolutely beautiful! Can’t wait to see her in it on my wedding day!","Bought for our niece for our wedding as a flower girl and this dress is just stunning, the design and style is beautiful and we could not be happier!",Received a beautiful dress. The maker was very understanding and communicated very efficient with any questions or concerns I had. My daughter was in between sizes and she made it to the measurements I sent her. Rejected it within 12 days. 10/10 would recommend.,114.4,15.82
2,https://www.etsy.com/listing/1257136692/dusty-rose-tutu-girls-dress-flower-girls?click_key=f56b65e9fbbba07a21e34d9a93ba5d07f1899148%3A1257136692&click_sum=3404efd3&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-1&frs=1,MadameSaram,17,Germany,0,0,41,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,89.7,0.0
3,https://www.etsy.com/listing/237199480/orage-peach-gold-flower-girl-dresspeach?click_key=3e2bc8ec30ef087a6511e78aad8442ee2e0957bb%3A237199480&click_sum=d8498ee1&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-2&pro=1&frs=1&sts=1,MimozaLuxury,2,Bulgaria,0,0,607,0.95,0.02,0.0,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,73.01,0.0
4,https://www.etsy.com/listing/799631943/long-sleeves-floor-length-ivory-lace?click_key=8caf240e968cfb8424a6d22b1a2473b9f976674a%3A799631943&click_sum=ae6ed040&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-3,MillyWeddingshop,14,United Kingdom,1,0,2696,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,133.22,15.82
5,https://www.etsy.com/listing/754351218/occasion-dress-girls-dress-baptism-dress?click_key=4526254a63427cb1876c629cc4a922f84b3c4d66%3A754351218&click_sum=7c0e72f2&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-4&frs=1&cns=1,StudioDeVi,13,Lithuania,0,0,40,1.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,49.0,0.0
6,https://www.etsy.com/listing/1132256033/lace-flower-girl-dress-boho-flower-girl?click_key=f8b5058363e69247de904749e041e77b03ec077e%3A1132256033&click_sum=b412ad9e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-5&pro=1,BeverlyCoStore,0,Ukraine,0,0,84,0.92,0.05,0.02,0.0,0.01,0,N.A.,N.A.,N.A.,N.A.,102.66,52.76
7,https://www.etsy.com/listing/950860408/swing-dress-school-dress-flower-girl?click_key=b0023b1dac13b07a12184452371464e4d41781d8%3A950860408&click_sum=2ee48062&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-6,paulapustekuchen,14,Germany,0,0,214,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,59.0,4.9
8,https://www.etsy.com/listing/1251000158/gorgeous-olive-satin-feel-dress-various?click_key=6367b6cfeb9202e0e3ded98ffbaab68d6dcffd86%3A1251000158&click_sum=e3fc5d88&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-7,AFairytaleAwaitsYou,13,United Kingdom,1,0,262,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,55.01,26.77
9,https://www.etsy.com/listing/715814202/handmade-ivory-grey-midi-tutu-flower?click_key=8830edc44cac2a45988cc1a16a51166270d36cb1%3A715814202&click_sum=075be6ee&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-5-8,Shopleilarae,18,United Kingdom,0,0,420,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,88.33,24.34
0,https://www.etsy.com/listing/830775203/girls-muslin-long-sleeve-dress-cotton?click_key=268a3ee612fbf153def79ceed276f14d21bc2258%3A830775203&click_sum=5c7c1ef8&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-6-1&sts=1,LillyRoseStories,11,Poland,1,0,643,0.0,0.0,0.0,0.0,0.0,5,Gorgeous dress! Even more beautiful in person than in the photos! Shipping did take a little longer than estimated but the dress still came in time for our family photos. I will definitely be shopping here again in the future!,Thank you for the beautiful dresses.,"Beautiful dress, mittl6the fifth from this shop. Thank you!",N.A.,35.0,6.0
1,https://www.etsy.com/listing/972297117/natasha-girls-white-dress-extra-large?click_key=654f01757eef2b8fae7d03e50b895da7f246c9ca%3A972297117&click_sum=e6cbbfd4&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-6-2&sts=1,MissBebonito,8,United Kingdom,1,0,166,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,41.85,20.56
2,https://www.etsy.com/listing/1192153664/gorgeous-pearl-flower-girl-dress-various?click_key=675a07109b7854d9856ebc19144b6501801836ff%3A1192153664&click_sum=15cd125b&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-6-3,AFairytaleAwaitsYou,18,United Kingdom,1,0,262,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,128.88,29.2
3,https://www.etsy.com/listing/965074066/cacao-exclusive-cross-back-pinafore?click_key=ed911189799b9920fec5e3ff2b4af640cc7ae313%3A965074066&click_sum=dadb8e50&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-6-4&pro=1&sts=1,allthebeautifullinen,7,Lithuania,0,0,1151,0.96,0.03,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,102.0,6.9
4,https://www.etsy.com/listing/703175064/girls-dress-summer-happiness-festive?click_key=56a2fd3273a9c8901cc6a489f6edf3cbb3fdb723%3A703175064&click_sum=c1e82d41&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-6-5,Pieperkinder,8,Germany,0,0,130,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,68.9,4.9
5,https://www.etsy.com/listing/1305612507/puffy-velvet-burgundy-baby-girls?click_key=49b5e34ba8b6150dd28c4d9a003f730593772ef1%3A1305612507&click_sum=97bc29f6&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-6-6&frs=1,MadameSaram,14,Germany,0,0,41,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,100.25,0.0
